BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
1000,3774,357.6581,322.0811,0.3213215,449.9032,2.37,1001,1001,196002,131004
2000,6984,247.2287,327.8556,247.2287,384.0925,4,2001,2001,392002,262004
3000,9589,264.4476,259.5812,211.7618,287.794,3.42,3001,3001,588002,393004
4000,11993,243.4438,242.1134,218.2622,250.2127,4.1,4001,4001,784002,524004
5000,14095,213.1833,211.1936,208.077,213.5613,4.68,5001,5001,980002,655004
6000,15910,183.0313,182.3021,133.4186,190.7903,5.4,6001,6001,1176002,786004
7000,17599,168.8632,169.2432,164.6362,171.2934,5.9,7001,7001,1372002,917004
8000,19131,155.5443,153.4945,140.5523,156.8659,6.41,8001,8001,1568002,1048004
9000,20526,142.1374,139.7634,135.5509,142.1955,7.04,9001,9001,1764002,1179004
10000,21809,124.4853,128.4699,123.1407,131.9026,7.8,10001,10001,1960002,1310004
11000,23012,121.2653,120.4409,114.1474,122.3936,8.28,11001,11001,2156002,1441004
12000,24139,114.1531,112.7387,105.7814,114.7219,8.74,12001,12001,2352002,1572004
13000,25189,107.9858,105.053,99.15501,108.2458,9.28,13001,13001,2548002,1703004
14000,26177,99.80703,99.17612,91.58164,101.577,10.14,14001,14001,2744002,1834004
15000,27114,95.29168,93.76363,89.57912,95.84051,10.77,15001,15001,2940002,1965004
16000,27998,89.8068,88.71855,83.61346,90.87291,11.12,16001,16001,3136002,2096004
17000,28813,82.70141,82.04357,79.96986,83.0546,12.1,17001,17001,3332002,2227004
18000,29572,76.60295,76.36106,71.96484,78.88045,12.9,18001,18001,3528002,2358004
19000,30319,75.82375,74.65258,68.45731,76.32098,13.41,19001,19001,3724002,2489004
20000,31029,72.43987,71.07464,66.7276,73.25608,13.72,20001,20001,3920002,2620004
21000,31699,68.24523,67.28757,64.57957,68.24523,14.69,21001,21001,4116002,2751004
22000,32362,65.30624,66.35744,61.53468,67.66939,14.95,22001,22001,4312002,2882004
23000,33007,65.40097,64.42837,59.29589,65.68423,15.42,23001,23001,4508002,3013004
24000,33620,62.87955,61.34773,55.96299,63.21107,15.97,24001,24001,4704002,3144004
25000,34215,60.49064,59.55326,54.34139,60.65523,16.55,25001,25001,4900002,3275004
26000,34790,56.16673,57.48032,52.46777,58.88044,17.21,26001,26001,5096002,3406004
27000,35341,52.09679,55.175,50.29436,56.68319,18.14,27001,27001,5292002,3537004
28000,35863,54.96441,52.15401,46.9219,54.96441,18.89,28001,28001,5488002,3668004
29000,36348,42.48238,49.10966,39.55658,53.92821,20.87,14114,14114,2766214,1848849
30000,36829,49.56572,47.49831,37.32141,51.19427,19.84,30001,30001,5880002,3930004
